"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count"
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",commons-io-2.2.jar,/src/.m2/repository/commons-io/commons-io/2.2/commons-io-2.2.jar,"The Commons IO library contains utility classes, stream implementations, file filters,  file comparators, endian transformation classes, and much more.",http://www.apache.org/licenses/LICENSE-2.0.txt,6ad49e3e16c2342e9ee9599ce04775e6,83b5b8a7ba1c08f9e8c8ff2373724e33d3c1e22a,pkg:maven/commons-io/commons-io@2.2,cpe:2.3:a:apache:commons_io:2.2:*:*:*:*:*:*:*,CVE-2021-29425,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"In Apache Commons IO before 2.7, When invoking the method FileNameUtils.normalize with an improper input string, like ""//../foo"", or ""\\..\foo"", the result would be the same value, thus possibly providing access to files in the parent directory, but not further above (thus ""limited"" path traversal), if the calling code would use the result to construct a path value.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:N/A:N,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,HIGH,36
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",guava-18.0.jar,/src/.m2/repository/com/google/guava/guava/18.0/guava-18.0.jar,"Guava is a suite of core and expanded libraries that include     utility classes, google's collections, io classes, and much     much more.      Guava has only one code dependency - javax.annotation,     per the JSR-305 spec.",http://www.apache.org/licenses/LICENSE-2.0.txt,947641f6bb535b1d942d1bc387c45290,cce0823396aa693798f8882e64213b1772032b09,pkg:maven/com.google.guava/guava@18.0,cpe:2.3:a:google:guava:18.0:*:*:*:*:*:*:*,CVE-2018-10237,CWE-770 Allocation of Resources Without Limits or Throttling,"Unbounded memory allocation in Google Guava 11.0 through 24.x before 24.1.1 allows remote attackers to conduct denial of service attacks against servers that depend on this library and deserialize attacker-provided data, because the AtomicDoubleArray class (when serialized with Java serialization) and the CompoundOrdering class (when serialized with GWT serialization) perform eager allocation without appropriate checks on what a client has sent and whether the data size is reasonable.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:N/A:P,MEDIUM,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,19
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",guava-18.0.jar,/src/.m2/repository/com/google/guava/guava/18.0/guava-18.0.jar,"Guava is a suite of core and expanded libraries that include     utility classes, google's collections, io classes, and much     much more.      Guava has only one code dependency - javax.annotation,     per the JSR-305 spec.",http://www.apache.org/licenses/LICENSE-2.0.txt,947641f6bb535b1d942d1bc387c45290,cce0823396aa693798f8882e64213b1772032b09,pkg:maven/com.google.guava/guava@18.0,cpe:2.3:a:google:guava:18.0:*:*:*:*:*:*:*,CVE-2020-8908,CWE-732 Incorrect Permission Assignment for Critical Resource,"A temp directory creation vulnerability exists in all versions of Guava, allowing an attacker with access to the machine to potentially access data in a temporary directory created by the Guava API com.google.common.io.Files.createTempDir(). By default, on unix-like systems, the created directory is world-readable (readable by an attacker with access to the system). The method in question has been marked @Deprecated in versions 30.0 and later and should not be used. For Android developers, we recommend choosing a temporary directory API provided by Android, such as context.getCacheDir(). For other Java developers, we recommend migrating to the Java 7 API java.nio.file.Files.createTempDirectory() which explicitly configures permissions of 700, or configuring the Java runtime's java.io.tmpdir system property to point to a location whose permissions are appropriately configured.",NVD,LOW,2.1,/AV:L/AC:L/Au:N/C:P/I:N/A:N,LOW,3.3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,HIGH,19
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",hibernate-validator-5.3.5.Final.jar,/src/.m2/repository/org/hibernate/hibernate-validator/5.3.5.Final/hibernate-validator-5.3.5.Final.jar,Hibernate's Bean Validation (JSR-303) reference implementation.,http://www.apache.org/licenses/LICENSE-2.0.txt,bd241d9104768ad5ef698d58534c0bce,0622a9bcef2eed6d41b5b8e0662c36212009e375,pkg:maven/org.hibernate/hibernate-validator@5.3.5.Final,"cpe:2.3:a:hibernate:hibernate-validator:5.3.5:*:*:*:*:*:*:*, cpe:2.3:a:redhat:hibernate_validator:5.3.5:*:*:*:*:*:*:*",CVE-2017-7536,CWE-470 Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),"In Hibernate Validator 5.2.x before 5.2.5 final, 5.3.x, and 5.4.x, it was found that when the security manager's reflective permissions, which allows it to access the private members of the class, are granted to Hibernate Validator, a potential privilege escalation can occur. By allowing the calling code to access those private members without the permission an attacker may be able to validate an invalid instance and access the private member value via ConstraintViolation#getInvalidValue().",NVD,MEDIUM,4.4,/AV:L/AC:M/Au:N/C:P/I:P/A:P,HIGH,7.0,CVSS:3.0/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,HIGH,32
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",hibernate-validator-5.3.5.Final.jar,/src/.m2/repository/org/hibernate/hibernate-validator/5.3.5.Final/hibernate-validator-5.3.5.Final.jar,Hibernate's Bean Validation (JSR-303) reference implementation.,http://www.apache.org/licenses/LICENSE-2.0.txt,bd241d9104768ad5ef698d58534c0bce,0622a9bcef2eed6d41b5b8e0662c36212009e375,pkg:maven/org.hibernate/hibernate-validator@5.3.5.Final,"cpe:2.3:a:hibernate:hibernate-validator:5.3.5:*:*:*:*:*:*:*, cpe:2.3:a:redhat:hibernate_validator:5.3.5:*:*:*:*:*:*:*",CVE-2019-10219,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),A vulnerability was found in Hibernate-Validator. The SafeHtml validator annotation fails to properly sanitize payloads consisting of potentially malicious code in HTML comments and instructions. This vulnerability can result in an XSS attack.,NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGH,32
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",hibernate-validator-5.3.5.Final.jar,/src/.m2/repository/org/hibernate/hibernate-validator/5.3.5.Final/hibernate-validator-5.3.5.Final.jar,Hibernate's Bean Validation (JSR-303) reference implementation.,http://www.apache.org/licenses/LICENSE-2.0.txt,bd241d9104768ad5ef698d58534c0bce,0622a9bcef2eed6d41b5b8e0662c36212009e375,pkg:maven/org.hibernate/hibernate-validator@5.3.5.Final,"cpe:2.3:a:hibernate:hibernate-validator:5.3.5:*:*:*:*:*:*:*, cpe:2.3:a:redhat:hibernate_validator:5.3.5:*:*:*:*:*:*:*",CVE-2020-10693,CWE-20 Improper Input Validation,"A flaw was found in Hibernate Validator version 6.1.2.Final. A bug in the message interpolation processor enables invalid EL expressions to be evaluated as if they were valid. This flaw allows attackers to bypass input sanitation (escaping, stripping) controls that developers may have put in place when handling user-controlled data in error messages.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:P/A:N,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,HIGH,32
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",httpclient-4.5.3.jar,/src/.m2/repository/org/apache/httpcomponents/httpclient/4.5.3/httpclient-4.5.3.jar,Apache HttpComponents Client,"",1965ebb7aca0f9f8faaed3870d8cf689,d1577ae15f01ef5438c5afc62162457c00a34713,pkg:maven/org.apache.httpcomponents/httpclient@4.5.3,cpe:2.3:a:apache:httpclient:4.5.3:*:*:*:*:*:*:*,CVE-2020-13956,NVD-CWE-noinfo,Apache HttpClient versions prior to version 4.5.13 and 5.0.3 can misinterpret malformed authority component in request URIs passed to the library as java.net.URI object and pick the wrong target host for request execution.,NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:P/A:N,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,HIGH,31
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",jackson-mapper-asl-1.9.2.jar,/src/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.2/jackson-mapper-asl-1.9.2.jar,Data Mapper package is a high-performance data binding package built on Jackson JSON processor,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",246dc2edd781021dce648e59dc839d85,95400a7922ce75383866eb72f6ef4a7897923945,pkg:maven/org.codehaus.jackson/jackson-mapper-asl@1.9.2,cpe:2.3:a:fasterxml:jackson-mapper-asl:1.9.2:*:*:*:*:*:*:*,CVE-2017-15095,"","A deserialization flaw was discovered in the jackson-databind in versions before 2.8.10 and 2.9.1, which could allow an unauthenticated user to perform code execution by sending the maliciously crafted input to the readValue method of the ObjectMapper. This issue extends the previous flaw CVE-2017-7525 by blacklisting more classes that could be used maliciously.",OSSINDEX,"","","",CRITICAL,9.8,CVSS:/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,29
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",jackson-mapper-asl-1.9.2.jar,/src/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.2/jackson-mapper-asl-1.9.2.jar,Data Mapper package is a high-performance data binding package built on Jackson JSON processor,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",246dc2edd781021dce648e59dc839d85,95400a7922ce75383866eb72f6ef4a7897923945,pkg:maven/org.codehaus.jackson/jackson-mapper-asl@1.9.2,cpe:2.3:a:fasterxml:jackson-mapper-asl:1.9.2:*:*:*:*:*:*:*,CVE-2017-17485,"","FasterXML jackson-databind through 2.8.10 and 2.9.x through 2.9.3 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 deserialization flaw. This is exploitable by sending maliciously crafted JSON input to the readValue method of the ObjectMapper, bypassing a blacklist that is ineffective if the Spring libraries are available in the classpath.",OSSINDEX,"","","",CRITICAL,9.8,CVSS:/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,29
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",jackson-mapper-asl-1.9.2.jar,/src/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.2/jackson-mapper-asl-1.9.2.jar,Data Mapper package is a high-performance data binding package built on Jackson JSON processor,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",246dc2edd781021dce648e59dc839d85,95400a7922ce75383866eb72f6ef4a7897923945,pkg:maven/org.codehaus.jackson/jackson-mapper-asl@1.9.2,cpe:2.3:a:fasterxml:jackson-mapper-asl:1.9.2:*:*:*:*:*:*:*,CVE-2017-7525,"","A deserialization flaw was discovered in the jackson-databind, versions before 2.6.7.1, 2.7.9.1 and 2.8.9, which could allow an unauthenticated user to perform code execution by sending the maliciously crafted input to the readValue method of the ObjectMapper.",OSSINDEX,"","","",CRITICAL,9.8,CVSS:/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,29
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",jackson-mapper-asl-1.9.2.jar,/src/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.2/jackson-mapper-asl-1.9.2.jar,Data Mapper package is a high-performance data binding package built on Jackson JSON processor,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",246dc2edd781021dce648e59dc839d85,95400a7922ce75383866eb72f6ef4a7897923945,pkg:maven/org.codehaus.jackson/jackson-mapper-asl@1.9.2,cpe:2.3:a:fasterxml:jackson-mapper-asl:1.9.2:*:*:*:*:*:*:*,CVE-2018-1000873,"","Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in Jackson-Modules-Java8 that can result in Causes a denial-of-service (DoS). This attack appear to be exploitable via The victim deserializes malicious input, specifically very large values in the nanoseconds field of a time value. This vulnerability appears to have been fixed in 2.9.8.",OSSINDEX,"","","",MEDIUM,6.5,CVSS:/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,HIGH,29
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",jackson-mapper-asl-1.9.2.jar,/src/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.2/jackson-mapper-asl-1.9.2.jar,Data Mapper package is a high-performance data binding package built on Jackson JSON processor,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",246dc2edd781021dce648e59dc839d85,95400a7922ce75383866eb72f6ef4a7897923945,pkg:maven/org.codehaus.jackson/jackson-mapper-asl@1.9.2,cpe:2.3:a:fasterxml:jackson-mapper-asl:1.9.2:*:*:*:*:*:*:*,CVE-2018-14718,"",FasterXML jackson-databind 2.x before 2.9.7 might allow remote attackers to execute arbitrary code by leveraging failure to block the slf4j-ext class from polymorphic deserialization.,OSSINDEX,"","","",CRITICAL,9.8,CVSS:/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,29
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",jackson-mapper-asl-1.9.2.jar,/src/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.2/jackson-mapper-asl-1.9.2.jar,Data Mapper package is a high-performance data binding package built on Jackson JSON processor,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",246dc2edd781021dce648e59dc839d85,95400a7922ce75383866eb72f6ef4a7897923945,pkg:maven/org.codehaus.jackson/jackson-mapper-asl@1.9.2,cpe:2.3:a:fasterxml:jackson-mapper-asl:1.9.2:*:*:*:*:*:*:*,CVE-2018-5968,"",FasterXML jackson-databind through 2.8.11 and 2.9.x through 2.9.3 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 and CVE-2017-17485 deserialization flaws. This is exploitable via two different gadgets that bypass a blacklist.,OSSINDEX,"","","",HIGH,8.1,CVSS:/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,29
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",jackson-mapper-asl-1.9.2.jar,/src/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.2/jackson-mapper-asl-1.9.2.jar,Data Mapper package is a high-performance data binding package built on Jackson JSON processor,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",246dc2edd781021dce648e59dc839d85,95400a7922ce75383866eb72f6ef4a7897923945,pkg:maven/org.codehaus.jackson/jackson-mapper-asl@1.9.2,cpe:2.3:a:fasterxml:jackson-mapper-asl:1.9.2:*:*:*:*:*:*:*,CVE-2018-7489,"","FasterXML jackson-databind before 2.7.9.3, 2.8.x before 2.8.11.1 and 2.9.x before 2.9.5 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 deserialization flaw. This is exploitable by sending maliciously crafted JSON input to the readValue method of the ObjectMapper, bypassing a blacklist that is ineffective if the c3p0 libraries are available in the classpath.",OSSINDEX,"","","",CRITICAL,9.8,CVSS:/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,29
